Aika,kWh
2021-12-11 04:00:00,82
2021-12-11 05:00:00,83
2021-12-11 06:00:00,81
2021-12-11 07:00:00,80
2021-12-11 08:00:00,84
2021-12-11 09:00:00,81
2021-12-11 10:00:00,84
2021-12-11 11:00:00,86
2021-12-11 12:00:00,82
2021-12-11 13:00:00,82
2021-12-11 14:00:00,84
2021-12-11 15:00:00,75
2021-12-11 16:00:00,80
2021-12-11 17:00:00,73
2021-12-11 18:00:00,75
2021-12-11 19:00:00,73
2021-12-11 20:00:00,72
2021-12-11 21:00:00,76
2021-12-11 22:00:00,72
2021-12-11 23:00:00,73
2021-12-12 00:00:00,77
2021-12-12 01:00:00,70
2021-12-12 02:00:00,71
2021-12-12 03:00:00,73
2021-12-12 04:00:00,69
2021-12-12 05:00:00,69
2021-12-12 06:00:00,72
2021-12-12 07:00:00,67
2021-12-12 08:00:00,70
2021-12-12 09:00:00,68
2021-12-12 10:00:00,70
2021-12-12 11:00:00,66
2021-12-12 12:00:00,71
2021-12-12 13:00:00,64
2021-12-12 14:00:00,66
2021-12-12 15:00:00,67
2021-12-12 16:00:00,67
2021-12-12 17:00:00,68
2021-12-12 18:00:00,66
2021-12-12 19:00:00,65
2021-12-12 20:00:00,70
2021-12-12 21:00:00,63
2021-12-12 22:00:00,67
2021-12-12 23:00:00,67
2021-12-13 00:00:00,65
2021-12-13 01:00:00,66
2021-12-13 02:00:00,68
2021-12-13 03:00:00,67
2021-12-13 04:00:00,67
2021-12-13 05:00:00,71
2021-12-13 06:00:00,70
2021-12-13 07:00:00,73
2021-12-13 08:00:00,70
2021-12-13 09:00:00,76
2021-12-13 10:00:00,75
2021-12-13 11:00:00,73
2021-12-13 12:00:00,72
2021-12-13 13:00:00,70
2021-12-13 14:00:00,66
2021-12-13 15:00:00,64
2021-12-13 16:00:00,66
2021-12-13 17:00:00,67
2021-12-13 18:00:00,63
2021-12-13 19:00:00,61
2021-12-13 20:00:00,61
2021-12-13 21:00:00,62
2021-12-13 22:00:00,63
2021-12-13 23:00:00,62
2021-12-14 00:00:00,66
2021-12-14 01:00:00,64
2021-12-14 02:00:00,65
2021-12-14 03:00:00,65
2021-12-14 04:00:00,63
2021-12-14 05:00:00,61
2021-12-14 06:00:00,62
2021-12-14 07:00:00,61
2021-12-14 08:00:00,65
2021-12-14 09:00:00,66
2021-12-14 10:00:00,64
2021-12-14 11:00:00,63
2021-12-14 12:00:00,65
2021-12-14 13:00:00,67
2021-12-14 14:00:00,68
2021-12-14 15:00:00,68
2021-12-14 16:00:00,68
2021-12-14 17:00:00,65
2021-12-14 18:00:00,66
2021-12-14 19:00:00,59
2021-12-14 20:00:00,59
2021-12-14 21:00:00,57
2021-12-14 22:00:00,60
2021-12-14 23:00:00,60
2021-12-15 00:00:00,59
2021-12-15 01:00:00,63
2021-12-15 02:00:00,60
2021-12-15 03:00:00,60
2021-12-15 04:00:00,63
2021-12-15 05:00:00,66
2021-12-15 06:00:00,65
2021-12-15 07:00:00,70
2021-12-15 08:00:00,70
2021-12-15 09:00:00,71
2021-12-15 10:00:00,69
2021-12-15 11:00:00,66
2021-12-15 12:00:00,65
2021-12-15 13:00:00,64
2021-12-15 14:00:00,58
2021-12-15 15:00:00,54
2021-12-15 16:00:00,54
2021-12-15 17:00:00,54
2021-12-15 18:00:00,52
2021-12-15 19:00:00,48
2021-12-15 20:00:00,49
2021-12-15 21:00:00,50
2021-12-15 22:00:00,54
2021-12-15 23:00:00,54
2021-12-16 00:00:00,58
2021-12-16 01:00:00,56
2021-12-16 02:00:00,62
2021-12-16 03:00:00,59
2021-12-16 04:00:00,61
2021-12-16 05:00:00,60
2021-12-16 06:00:00,59
2021-12-16 07:00:00,58
2021-12-16 08:00:00,60
2021-12-16 09:00:00,57
2021-12-16 10:00:00,58
2021-12-16 11:00:00,60
2021-12-16 12:00:00,60
2021-12-16 13:00:00,54
2021-12-16 14:00:00,55
2021-12-16 15:00:00,57
2021-12-16 16:00:00,54
2021-12-16 17:00:00,56
2021-12-16 18:00:00,57
2021-12-16 19:00:00,56
2021-12-16 20:00:00,58
2021-12-16 21:00:00,63
2021-12-16 22:00:00,59
2021-12-16 23:00:00,66
2021-12-17 00:00:00,67
2021-12-17 01:00:00,65
2021-12-17 02:00:00,65
2021-12-17 03:00:00,71
2021-12-17 04:00:00,66
2021-12-17 05:00:00,70
2021-12-17 06:00:00,67
2021-12-17 07:00:00,73
2021-12-17 08:00:00,71
2021-12-17 09:00:00,74
2021-12-17 10:00:00,72
2021-12-17 11:00:00,75
