timestamp,District_heat_temperature,Domestic_water_network_1_temperature,Radiator_network_1_temperature,Radiator_network_1_primary_valve,Ventilation_network_1_temperature,Ventilation_network_1_primary_valve,Ventilation_network_1_secondary_valve,Energy_consumption,Outside_temperature_average,Inside_temperature,CO2_concentration,avg_pressure_difference,Outside_humidity,Solar_irradiance
2021-08-31 10:00:00+00:00,64.47990183,57.93176829,22.63931395,2.099999905,25.28490184,0.100000001,0,8,17.3,,,,57,128.1
2021-08-31 11:00:00+00:00,63.52108349,57.98892534,22.44088234,2.099999905,25.41744997,0.100000001,0,11,18.5,,,,58,645.6
2021-08-31 12:00:00+00:00,63.09843211,58.03421836,22.3317664,2.099999905,25.51578323,0.017549825,0,4,19.4,,,,56,579.7
2021-08-31 13:00:00+00:00,62.54581183,57.90754981,22.14088463,2.099999905,25.60000038,0,0,5,19,,,,52,126
2021-08-31 14:00:00+00:00,60.85520656,58.01146124,22.0408846,2.099999905,25.66744948,0,0,3,19.2,,,,55,405
2021-08-31 15:00:00+00:00,62.11354604,58.01432242,22.13437438,2.099999905,25.56562483,0,0,2,18.7,,,,55,270.2
2021-08-31 16:00:00+00:00,64.34114193,57.91822791,23.93905419,2.099999905,24.47500173,0,0,2,18.4,,,,57,62
2021-08-31 17:00:00+00:00,65.36525105,58.03166427,26.34862547,2.099999905,24.68400803,0,0,3,18,,,,57,31
2021-08-31 18:00:00+00:00,66.17134551,57.93255495,28.11613086,2.099999905,24.5335972,0.991661727,0,4,17,,,,62,-2.2
2021-08-31 19:00:00+00:00,66.9010149,58.10155775,29.27757365,2.099999905,24.84662681,2.754369107,0,6,15.9,,,,66,-2.6
2021-08-31 20:00:00+00:00,68.27522929,58.04010887,30.95334396,2.099999905,25.54608929,4.243189315,0,7,14.8,,,,75,-2.6
2021-08-31 21:00:00+00:00,69.12055507,57.91588839,31.75389034,2.099999905,25.92733799,4.264002808,0,9,14.1,,,,85,-3
2021-08-31 22:00:00+00:00,69.470423,58.09922574,32.0757751,2.099999905,26.30277524,4.463949306,0,11,12.5,,,,87,-2.8
2021-08-31 23:00:00+00:00,69.47618999,57.96066288,32.0749983,2.099999905,26.11313058,4.15033513,0,11,10.9,,,,90,-2.4
2021-09-01 00:00:00+00:00,69.50077511,58.0507758,32.14999889,2.099999905,26.00376219,4.62755234,0,11,11.3,,,,83,-2.6
2021-09-01 01:00:00+00:00,69.51744258,58.00755792,32.20387836,2.099999905,26.26602081,4.157870099,0,11,10.5,,,,78,-2.5
2021-09-01 02:00:00+00:00,69.65232438,58.04844803,32.96685609,2.099999905,26.51030883,5.109399888,0,12,11.9,,,,79,-2.3
2021-09-01 03:00:00+00:00,70.44417443,57.83644545,34.11452894,2.099999905,27.12595191,6.615533294,0,11,12,,,,78,-1.6
2021-09-01 04:00:00+00:00,71.74940587,57.82111593,34.52345121,2.099999905,27.30755087,6.822680566,0,12,11.3,,,,79,38.3
2021-09-01 05:00:00+00:00,72.69708229,57.78237949,34.1938077,2.099999905,26.97853286,6.656554403,0,19,10.5,,,,75,153.9
2021-09-01 06:00:00+00:00,72.85524101,58.49803726,32.99983352,2.099999905,26.52616944,5.251385556,0,20,9.7,,,,72,288.5
2021-09-01 07:00:00+00:00,72.19459252,57.9385715,31.57853348,2.099999905,25.78524385,4.53645089,0,22,9.9,,,,68,414.9
2021-09-01 08:00:00+00:00,71.50561196,57.82434147,30.07674705,2.099999905,25.33038684,3.007245619,0,17,10.6,,,,62,589.9
2021-09-01 09:00:00+00:00,71.21846129,58.18629349,29.17001851,2.099999905,24.84359397,2.539976261,0,15,11.7,,,,57,594.7
