timestamp,District_heat_temperature,Domestic_water_network_1_temperature,Radiator_network_1_temperature,Radiator_network_1_primary_valve,Ventilation_network_1_temperature,Ventilation_network_1_primary_valve,Ventilation_network_1_secondary_valve,control_on,control_off,Energy_consumption,Inside_temperature,CO2_concentration,avg_pressure_difference,Outside_temperature_average,Outside_humidity,Solar_irradiance,Radiator_network_1_temperature_setpoint
2021-09-02 06:00:00+00:00,74.26915385,57.95024951,35.47703834,2.099999905,27.67179223,7.057496938,0,0,35.52944224,24,,,,9,79,275.6,35.52944224
2021-09-02 07:00:00+00:00,73.45029981,57.76078909,33.62707158,2.099999905,27.03309525,5.261913336,0,0,33.62374211,25,,,,10,74,383.3,33.62374211
2021-09-02 08:00:00+00:00,72.46989486,57.79168678,31.84811414,2.099999905,25.93537588,4.492051255,0,0,31.9047853,26,,,,10.8,71,557,31.9047853
2021-09-02 09:00:00+00:00,72.17061869,57.51173338,30.31112967,2.099999905,25.35616938,4.055407583,0,0,30.32885733,19,,,,11.8,63,684.4,30.32885733
2021-09-02 10:00:00+00:00,71.20324828,57.96446527,29.22531277,2.099999905,24.63418784,4.219675028,0,0,29.33677006,16,,,,12.1,57,200.8,29.33677006
2021-09-02 11:00:00+00:00,71.19457908,57.86886813,29.3565767,2.099999905,24.47801224,5.338635266,0,0,29.44791928,18,,,,13.2,54,330.4,29.44791928
2021-09-02 12:00:00+00:00,70.71251433,58.1244517,29.78302452,2.099999905,24.91036266,4.925412502,0,0,29.82436418,20,,,,12.5,55,245.5,29.82436418
2021-09-02 13:00:00+00:00,70.56884577,57.98406318,30.52610375,2.099999905,25.39979313,5.510747567,0,0,30.51038907,10,,,,11.9,61,101.3,30.51038907
2021-09-02 14:00:00+00:00,70.90145295,57.92061776,32.18734014,2.099999905,26.13774654,6.719469831,0,0,32.19733884,19,,,,11.1,69,143.1,32.19733884
2021-09-02 15:00:00+00:00,71.24131575,58.06198695,33.28333413,2.099999905,26.39470368,7.003048394,0,0,33.22435013,11,,,,9.8,87,98.4,33.22435013
2021-09-02 16:00:00+00:00,72.39165568,57.99165747,33.59166429,2.099999905,26.65248304,5.330779676,0,0,33.63687951,12,,,,9.5,93,14.6,33.63687951
2021-09-02 17:00:00+00:00,71.05726452,58.01124439,32.73587677,2.099999905,25.88303979,4.885143127,0,0,32.81921767,16,,,,9.9,96,3,32.81921767
2021-09-02 18:00:00+00:00,70.38732702,58.04021619,32.30617379,2.099999905,26.53458479,3.970929066,0,0,32.36021959,16,,,,11,94,-1.1,32.36021959
2021-09-02 19:00:00+00:00,69.85399342,58.00616367,32.21266632,2.099999905,26.0329965,4.234846304,0,0,32.24832977,13,,,,11.3,93,-1.2,32.24832977
2021-09-02 20:00:00+00:00,69.30905678,58.07500076,32.20072914,2.099999905,26.22143515,4.10720786,0,0,32.34072599,11,,,,11.5,90,-1.9,32.34072599
2021-09-02 21:00:00+00:00,69.75716521,57.99644588,32.55876598,2.099999905,26.27702416,4.48882596,0,0,32.56216252,11,,,,11.2,92,-1.4,32.56216252
2021-09-02 22:00:00+00:00,70.08143857,57.9875043,33.00555692,2.099999905,26.59679481,3.918320474,0,0,33.00120749,11,,,,10.9,90,-2,33.00120749
2021-09-02 23:00:00+00:00,70.28545438,58.02500165,33.88345599,2.099999905,26.98271937,4.974723803,0,0,33.85489845,11,,,,10.5,84,-2.1,33.85489845
2021-09-03 00:00:00+00:00,70.67827273,57.9847581,35.34722045,2.099999905,27.59856749,5.635928572,0,0,35.38866422,12,,,,9.1,82,-1.5,35.38866422
2021-09-03 01:00:00+00:00,71.41916384,58.07394082,36.71416283,2.099999905,28.41652676,6.140017394,0,0,36.68156438,11,,,,8,88,-1.7,36.68156438
2021-09-03 02:00:00+00:00,72.01771146,58.12999761,37.13736808,2.099999905,28.65885454,6.506382321,0,0,37.21239302,14,,,,7.5,88,-1.7,37.21239302
2021-09-03 03:00:00+00:00,72.50730908,57.9182721,37.66425454,2.099999905,28.81231773,9.627930266,0,0,37.70432548,15,,,,7.3,85,-1.8,37.70432548
2021-09-03 04:00:00+00:00,66.46050963,56.21271207,37.03372882,2.099999905,29.98434415,38.34457712,0,0,37.80367287,16,,,,6.8,85,24.5,37.80367287
2021-09-03 05:00:00+00:00,74.46597189,58.07699884,37.70534376,2.099999905,28.7807091,9.915025002,0,0,37.77034348,17,,,,7,85,60.2,37.77034348
2021-09-03 06:00:00+00:00,74.52433868,58.03035432,36.79535883,2.099999905,28.50929442,7.597430384,0,0,36.89573811,23,,,,6.5,87,433.8,36.89573811
2021-09-03 07:00:00+00:00,74.32803376,57.75906682,35.42611181,2.099999905,27.57875261,6.904138177,0,0,35.4443907,24,,,,7.6,82,233.4,35.4443907
2021-09-03 08:00:00+00:00,73.52136641,57.78351236,33.88109264,2.099999905,27.07992288,6.222446476,0,0,33.89078824,28,,,,9.1,75,209.7,33.89078824
2021-09-03 09:00:00+00:00,73.58136426,58.03770001,32.55347271,2.099999905,26.27747468,5.905841051,0,0,32.62550161,23,,,,10,66,288.3,32.62550161
2021-09-03 10:00:00+00:00,72.99767609,58.10635771,31.70797181,2.099999905,25.85606238,5.256368048,0,0,31.79624023,20,,,,10.5,62,212.7,31.79624023
2021-09-03 11:00:00+00:00,72.92940605,58.17496861,31.70418859,2.099999905,25.82487949,4.528885926,0,0,31.5965562,22,,,,11.3,65,299.9,31.5965562
2021-09-03 12:00:00+00:00,71.96882255,58.15170171,30.73360318,2.099999905,25.93357718,4.618447514,0,0,30.81414252,19,,,,11.8,56,703.7,30.81414252
2021-09-03 13:00:00+00:00,62.01433438,55.75963186,32.63726951,2.099999905,29.66208902,29.67983879,0,0,32.80907205,14,,,,10.2,67,236.6,32.80907205
2021-09-03 14:00:00+00:00,70.76600633,57.96001774,31.91030127,2.099999905,26.69891264,4.95038273,0,0,31.92503229,19,,,,9.8,76,124.9,31.92503229
2021-09-03 15:00:00+00:00,70.67761991,57.89896607,32.42827439,2.099999905,25.95720384,6.345863298,0,0,32.33786893,11,,,,10.1,74,24.5,32.33786893
2021-09-03 16:00:00+00:00,70.57043993,57.95537527,32.35552017,2.099999905,26.01533039,6.596912953,0,0,32.41850962,17,,,,10.6,63,130.6,32.41850962
2021-09-03 17:00:00+00:00,70.74388589,57.9796174,34.30670832,2.099999905,27.36049884,5.618899551,0,0,34.33202523,12,,,,10.1,63,20.9,34.33202523
2021-09-03 18:00:00+00:00,71.10924983,57.94537386,35.43803403,2.099999905,27.74802625,6.305641781,0,0,35.51739862,14,,,,9.2,67,-2.3,35.51739862
2021-09-03 19:00:00+00:00,71.72054047,58.06026919,36.9660667,2.099999905,28.41055739,6.774759333,0,0,36.94541008,12,,,,8.6,69,-2.6,36.94541008
2021-09-03 20:00:00+00:00,72.17757809,58.04997282,37.88677987,2.099999905,28.9343651,6.924876674,0,0,37.80280345,15,,,,8.1,73,-2.5,37.80280345
2021-09-03 21:00:00+00:00,72.49413346,58.12499774,38.24473417,2.099999905,29.21523344,6.797939914,0,0,38.27309682,15,,,,7.5,79,-2.5,38.27309682
2021-09-03 22:00:00+00:00,72.76914047,58.06958661,38.87463481,2.099999905,29.56784038,7.172806992,0,0,38.80475536,17,,,,7.4,81,-2.8,38.80475536
2021-09-03 23:00:00+00:00,73.10614887,58.04396117,38.29283938,2.099999905,29.06291219,7.219413257,0,0,38.18520816,18,,,,7.4,84,-2.5,38.18520816
2021-09-04 00:00:00+00:00,73.28333511,58.0594628,38.46947119,2.099999905,29.15607392,7.587105255,0,0,38.40672686,17,,,,7.2,81,-2.5,38.40672686
2021-09-04 01:00:00+00:00,73.56142366,58.01145925,39.28488302,2.099999905,29.47506773,8.006841542,0,0,39.23227168,20,,,,7.5,78,-2.6,39.23227168
2021-09-04 02:00:00+00:00,73.63015586,57.87156477,38.32369244,2.099999905,29.16195971,7.561989609,0,0,38.29328203,19,,,,5.3,89,-2.3,38.29328203
2021-09-04 03:00:00+00:00,73.50784524,57.94204946,38.64349321,2.099999905,29.26423597,7.644725067,0,0,38.60085978,21,,,,6.4,84,-2.3,38.60085978
2021-09-04 04:00:00+00:00,73.54207101,58.05091281,38.77239702,2.099999905,29.43172593,7.808706532,0,0,38.90631286,21,,,,6.4,85,16.7,38.90631286
2021-09-04 05:00:00+00:00,73.57422047,58.05788682,38.23698771,2.099999905,29.08115173,7.491669655,0,0,38.12198918,20,,,,7.2,82,83,38.12198918
2021-09-04 06:00:00+00:00,73.13113616,58.05089046,36.59599987,2.099999905,28.3067756,6.789043776,0,0,36.58792004,21,,,,7.6,79,337.9,36.58792004
2021-09-04 07:00:00+00:00,72.45572788,57.96745438,35.10379459,2.099999905,27.54456091,5.821739596,0,0,35.17435421,21,,,,9,68,403.9,35.17435421
2021-09-04 08:00:00+00:00,71.44734415,57.9832934,33.66214109,2.099999905,26.5880185,5.530491467,0,0,33.60939617,20,,,,10.1,59,514.9,33.60939617
2021-09-04 09:00:00+00:00,70.86520332,57.88259584,32.29818563,2.099999905,26.17543221,5.928802568,0,0,32.36304056,17,,,,11,55,174.3,32.36304056
2021-09-04 10:00:00+00:00,70.31538371,57.97561316,31.39584862,2.099999905,25.72746157,5.832918902,0,0,31.36332669,14,,,,11.3,50,190,31.36332669
2021-09-04 11:00:00+00:00,69.94949052,58.04942263,30.88305974,2.099999905,25.40900626,4.492251869,0,0,30.90316737,13,,,,11.4,44,254.9,30.90316737
