timestamp,District_heat_temperature,Domestic_water_network_1_temperature,Radiator_network_1_temperature,Radiator_network_1_primary_valve,Ventilation_network_1_temperature,Ventilation_network_1_primary_valve,Floor_network_1_temperature,Floor_network_1_primary_valve,control_on,control_off,Energy_consumption,Inside_temperature,CO2_concentration,avg_pressure_difference,Outside_temperature_average,Outside_humidity,Solar_irradiance,Radiator_network_1_temperature_setpoint
2021-09-07 10:00:00+00:00,77.93601862,58.4144162,29.03189046,13.97865428,22.84453662,4.71421329,25.08411041,0,0,29.12856187,6,,,,14.3,69,237.3,29.12856187
2021-09-07 11:00:00+00:00,78.61530214,56.19615555,28.60290194,16.33694964,18.99360995,0,25.10910771,0,0,28.62868377,7,,,,14.9,74,205,28.62868377
2021-09-07 12:00:00+00:00,77.29264683,58.04084187,28.35021458,11.02408476,18.1158944,0,25.19093563,0,0,28.2153607,8,,,,15.7,74,234.3,28.2153607
2021-09-07 13:00:00+00:00,75.70902559,57.98257185,28.36149633,21.05944763,18.06595039,0,25.02426853,0,0,28.41699125,5,,,,16.1,69,145.8,28.41699125
2021-09-07 14:00:00+00:00,75.61529092,58.00206792,28.32224638,15.03687359,18.04510727,0,25.05000066,0,0,28.44901903,8,,,,16,72,180.3,28.44901903
2021-09-07 15:00:00+00:00,75.65902597,58.02368563,29.14406569,22.69361195,19.10803168,0,24.97434289,0,0,29.07999007,3,,,,15.9,73,94.4,29.07999007
2021-09-07 16:00:00+00:00,76.66357211,58.05065722,30.17388647,16.23446975,25.70448224,9.350348748,24.97565654,0,0,30.16122544,3,,,,15,77,13.5,30.16122544
2021-09-07 17:00:00+00:00,76.21637054,58.00585741,30.96007356,13.02006786,27.0168168,7.795212408,25,0,0,30.98859594,2,,,,13.6,89,-0.9,30.98859594
2021-09-07 18:00:00+00:00,76.45722741,58.0480516,31.2182323,14.80465847,27.67323179,13.05442283,25.10958599,0,0,31.11500104,3,,,,13.3,91,-2,31.11500104
2021-09-07 19:00:00+00:00,75.98273412,57.95334776,31.15938915,15.689591,27.13246743,11.42558503,25.08213382,0,0,31.07333334,5,,,,13.4,90,-1.6,31.07333334
2021-09-07 20:00:00+00:00,76.25178393,57.92450024,31.07500501,14.86049332,27.57740628,12.65780366,25.08393283,0,0,31.17393398,3,,,,13.4,91,-1.6,31.17393398
2021-09-07 21:00:00+00:00,76.44123016,57.99277831,31.23779409,16.70203057,27.67720954,16.1501158,25.10000038,0,0,31.329058,4,,,,13.4,91,-2,31.329058
2021-09-07 22:00:00+00:00,76.36306043,58.00124049,31.7379279,18.90499307,27.96899848,11.6559192,25.10000038,0,0,31.67285962,3,,,,12.7,94,-1.9,31.67285962
2021-09-07 23:00:00+00:00,76.77337908,58.03134577,32.1811643,13.79476991,28.75367083,12.09969591,25.10000038,0,0,32.04124433,3,,,,12.8,93,-2,32.04124433
2021-09-08 00:00:00+00:00,76.42342129,58.03552091,31.64430381,14.08332637,28.2694821,15.8730271,25.04437658,0,0,31.85218522,4,,,,13.2,92,-2.1,31.85218522
2021-09-08 01:00:00+00:00,76.70389505,57.8902212,32.42930786,16.52019235,28.90810458,16.78156348,25.01012508,0,0,32.26365955,4,,,,12.9,93,-2.4,32.26365955
2021-09-08 02:00:00+00:00,78.0712786,57.97158032,32.56961834,7.900908155,28.9313979,17.55600396,25,0,0,32.47451488,3,,,,12.4,96,-2.1,32.47451488
2021-09-08 03:00:00+00:00,78.75881247,57.69217257,32.56765205,16.49881733,29.20013746,20.86805082,24.94999935,0,0,32.56373595,4,,,,12.2,96,-1.4,32.56373595
2021-09-08 04:00:00+00:00,80.08974506,60.30488231,32.08333112,17.87764205,28.65605573,15.22360856,25.01711338,0,0,32.22480479,3,,,,12.2,95,9.7,32.22480479
2021-09-08 05:00:00+00:00,80.21514923,58.95253675,30.99570701,12.66475404,27.12494371,15.30857697,25.0833334,0,0,30.87952921,6,,,,13.8,90,45.6,30.87952921
2021-09-08 06:00:00+00:00,79.3054397,57.76930611,29.82584599,16.05659331,25.68364584,18.67267485,24.95004416,0,0,29.9019966,7,,,,15.2,85,87.9,29.9019966
2021-09-08 07:00:00+00:00,78.14828258,58.15930097,29.48366036,8.759634424,24.98621058,8.317440663,25.16662249,0,0,29.42133004,9,,,,15,85,151.5,29.42133004
2021-09-08 08:00:00+00:00,77.78955714,58.24023992,27.5872685,19.0456888,22.60477811,0,25.04999989,0,0,27.82966786,9,,,,16.2,80,130.1,27.82966786
2021-09-08 09:00:00+00:00,78.2689977,57.68541587,27.43581209,10.26846468,22.44259909,0,25.12544393,0,0,27.2326758,6,,,,17.5,77,233.6,27.2326758
2021-09-08 10:00:00+00:00,78.71864167,57.54702774,26.74486098,13.38477242,22.60000038,0,25.15000027,0,0,26.72132939,4,,,,,,332.7,26.72132939
2021-09-08 11:00:00+00:00,77.97513287,58.7504463,27.07623973,13.00854556,22.60000038,0,25.13941225,0,0,27.07299441,4,,,,17.3,78,183.6,27.07299441
2021-09-08 12:00:00+00:00,77.07562481,58.14877301,27.19946663,13.02212835,22.68377543,0,25.00273934,0,0,27.21122595,4,,,,17.2,78,116.4,27.21122595
